react_smi,prod_smi,mr_num,mr_smi,iso_bool,iso_type,iso_corr_factor,f_ea_true,f_ea_mr
CC[CH]C(CC)CC,CCC=C(CC)CC.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,40.78248000001125,38.8943
[CH2]C(C)CC,C=CCC.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,31.262677500005367,30.002
CC[CH]C(C)C,CC=CCC.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,29.83888000001535,30.3007
[CH2]C(C)(C)C(C)CC,C=C(C)C(C)CC.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,31.599645000010668,30.1589
C[CH]CCC(C)CC,C=CCCC(C)CC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,43.436177499981454,42.0394
CC[CH]CCCC,C=CCCCC.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,32.16439499997591,30.5367
[CH2]C(C)C(C)CC,C=CC.C[CH]CC,new_mr_39,[CH2]C(C)C(C)C>>C=CC.C[CH]C,False,,,25.80907500000606,24.6607
CCCC[CH]C(C)C,CCCCC=C(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,39.86946749999788,38.8943
CC[CH]C(C)CCC,CC=CCC.[CH2]CC,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,28.35609750003158,29.1794
[CH2]C(CC)CCCC,C=C(CC)CCCC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,39.854407500000235,38.2919
[CH2]CC(C)CC(C)C,C=CC(C)CC(C)C.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,40.19200250000395,40.4424
[CH2]C(C)CC(C)(C)C,C=CC.[CH2]C(C)(C)C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,28.76773749999103,27.861
[CH2]C(C)(CC)CCC,C=C(C)CC.[CH2]CC,new_mr_42,[CH2]C(C)(C)CC>>C=C(C)C.[CH2]C,False,,,27.559172499974807,26.4052
CCC[CH]CCCC,CCC=CCCCC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.8774674999932,39.503
[CH2]C(CC)CC,C=CCC.[CH2]C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,28.526150000012436,27.861
CC[CH]C(C)(C)C,CCC=C(C)C.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,29.913552499987333,29.7912
CC[CH]CC(C)CC,C=CCC(C)CC.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,27.365902499999066,30.5367
[CH2]C(C)(CC)C(C)C,C=C(C)CC.C[CH]C,new_mr_43,[CH2]C(C)(C)C(C)C>>C=C(C)C.C[CH]C,False,,,24.275464999990106,22.9351
C[CH]C(CC)CCC,C=CC(CC)CCC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,45.11599499998496,42.0394
[CH2]CCCCCCC,C=C.[CH2]CCCCC,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,28.17035750000116,25.9484
CCC[C](CC)CC,C=C(CC)CCC.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,29.756049999992626,30.2166
CCC[C](C)C(C)C,C=C(C)C(C)C.[CH2]C,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,25.195379999986045,28.4458
C[CH]CC(C)(C)CC,CC=CC(C)(C)CC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.66599999999207,39.503
CCC(C)(C)[C](C)C,C=C(C)C(C)(C)CC.[H],new_mr_30,C[C](C)C>>C=C(C)C.[H],False,,,43.55540250000146,40.608
CC[CH]CC(C)CC,C=CCC.C[CH]CC,new_mr_47,C[CH]CC(C)C>>C=CC.C[CH]C,False,,,22.960852499991944,26.8012
CC[CH]CC(C)(C)C,C=CCC.C[C](C)C,new_mr_48,C[CH]CC(C)(C)C>>C=CC.C[C](C)C,False,,,23.444027500020468,22.9289
C[CH]CCCC,C=CC.[CH2]CC,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,30.41492500000558,28.5519
C[CH]CC(CC)CC,CC=CC(CC)CC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.635879999996774,39.503
C[CH]C(C)C(C)C,CC=C(C)C(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,42.705140000008015,38.8943
[CH2]C(C)CC(C)CC,C=CC.[CH2]C(C)CC,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,28.293347499975994,27.861
C[CH]CC(C)C(C)C,C=CC.C[CH]C(C)C,new_mr_47,C[CH]CC(C)C>>C=CC.C[CH]C,False,,,27.99591249997789,26.8012
CC(C)[CH]C(C)C,CC=CC(C)C.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,28.06556500001605,30.3007
CC[C](C)CC,C=C(C)CC.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,29.677612500012316,30.2166
[CH2]CC(C)(C)C(C)C,C=C.C[C](C)C(C)C,new_mr_36,[CH2]CC(C)(C)C>>C=C.C[C](C)C,False,,,22.974029999994343,22.8002
[CH2]C(C)(C)C(C)C,C=C(C)C.C[CH]C,new_mr_43,[CH2]C(C)(C)C(C)C>>C=C(C)C.C[CH]C,False,,,22.93512499998556,22.9351
C[C](C)C(C)C(C)C,CC=C(C)C.C[CH]C,new_mr_62,C[C](C)C(C)C(C)C>>CC=C(C)C.C[CH]C,False,,,26.100862500018422,26.1253
[CH2]C(C)C(C)(C)C,C=C(C)C(C)(C)C.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,40.204552500007935,38.2919
C[CH]CCC(C)C,C=CCCC(C)C.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,42.22949499999615,42.0394
CC[C](C)C(C)CC,CC=C(C)CC.[CH2]C,new_mr_61,CCC(C)[C](C)C>>CC=C(C)C.[CH2]C,False,,,27.291857500007666,28.6749
[CH2]C(CC)C(C)C,C=CCC.C[CH]C,new_mr_39,[CH2]C(C)C(C)C>>C=CC.C[CH]C,False,,,24.467480000004684,24.6607
[CH2]CCC(C)(C)C,C=C.[CH2]C(C)(C)C,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,27.293740000002913,25.9484
[CH2]C(C)C(C)C(C)C,C=CC.C[CH]C(C)C,new_mr_39,[CH2]C(C)C(C)C>>C=CC.C[CH]C,False,,,25.647179999986776,24.6607
C[CH]C(C)(C)CCC,CC=C(C)C.[CH2]CC,new_mr_54,C[CH]C(C)(C)CC>>CC=C(C)C.[CH2]C,False,,,28.76899249998786,27.5849
C[CH]C(CC)C(C)C,CC=C(CC)C(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,42.40456750001783,38.8943
[CH2]CC(C)(CC)CC,C=C.CC[C](C)CC,new_mr_36,[CH2]CC(C)(C)C>>C=C.C[C](C)C,False,,,23.17796749997882,22.8002
[CH2]C(C)(CC)CCC,C=C(C)CCC.[CH2]C,new_mr_42,[CH2]C(C)(C)CC>>C=C(C)C.[CH2]C,False,,,27.353352499995083,26.4052
CCCC(C)[C](C)C,CC=C(C)C.[CH2]CC,new_mr_61,CCC(C)[C](C)C>>CC=C(C)C.[CH2]C,False,,,29.068937500015295,28.6749
CC[CH]C(C)CCC,C=CC(C)CCC.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,31.344252500013425,30.5367
CCC[CH]CCCC,C=CCCC.[CH2]CC,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,30.849154999979334,28.5519
CC[C](CC)C(C)C,CC=C(CC)CC.[CH3],new_mr_60,C[C](C)C(C)C>>CC=C(C)C.[CH3],False,,,30.052857500027983,28.8267
[CH2]C(C)C(C)CC,C=C(C)C(C)CC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,39.15913750000783,38.2919
[CH2]C(C)(C)CCC,C=C(C)CCC.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,29.869627499991225,30.1589
CCCC[CH]C(C)C,CC=CCCCC.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,35.069719999988536,30.3007
C[CH]C(C)(C)CCC,C=CC(C)(C)CCC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,43.759967499984356,42.0394
[CH2]C(C)C(CC)CC,C=CC(CC)CC.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,30.061642500005803,30.002
CCC(C)(C)[C](C)C,CCC(C)=C(C)C.[CH3],new_mr_63,C[C](C)C(C)(C)C>>CC(C)=C(C)C.[CH3],False,,,28.83425250000144,28.7395
[CH2]C(CC)CCC,C=CCCC.[CH2]C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,28.110117499974905,27.861
[CH2]C(C)CCCCC,C=CCCCCC.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,29.8382524999991,30.002
CCC[C](C)C(C)C,CC=C(C)CCC.[CH3],new_mr_60,C[C](C)C(C)C>>CC=C(C)C.[CH3],False,,,28.398139999996772,28.8267
CCC[C](C)CC,C=C(CC)CCC.[H],new_mr_30,C[C](C)C>>C=C(C)C.[H],False,,,42.33805250000742,40.608
[CH2]C(C)(CC)C(C)C,C=C(C)C(C)C.[CH2]C,new_mr_42,[CH2]C(C)(C)CC>>C=C(C)C.[CH2]C,False,,,28.533052500012843,26.4052
[CH2]CCCCCCC,C=CCCCCCC.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,39.647960000022096,40.4424
C[CH]C(CC)CCC,CC=CCCC.[CH2]C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,27.930025000001564,29.1794
CCC(C)[CH]C(C)C,CCC(C)=CC(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,38.780755000000084,38.8943
[CH2]C(C(C)C)C(C)C,C=C(C(C)C)C(C)C.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,40.47688749999807,38.2919
[CH2]C(C)C,C=C(C)C.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,38.29067750000682,38.2919
C[CH]CCCC,C=CCCCC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,42.46292499999534,42.0394
C[C](C)CC(C)C,C=C(C)C.C[CH]C,new_mr_58,C[C](C)CC(C)C>>C=C(C)C.C[CH]C,False,,,25.43131999999673,25.4439
C[CH]CC(CC)CC,C=CC.CC[CH]CC,new_mr_47,C[CH]CC(C)C>>C=CC.C[CH]C,False,,,29.011835000016788,26.8012
[CH2]C(C)C(C)C(C)C,C=CC(C)C(C)C.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,32.563485000002714,30.002
[CH2]C(CC)C(C)C,C=CC(C)C.[CH2]C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,27.95826250000161,27.861
[CH2]C(C)CCCC,C=C(C)CCCC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,38.67658999997772,38.2919
[CH2]C(C)C(C)C(C)C,C=C(C)C(C)C(C)C.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,41.91950999999406,38.2919
[CH2]C(C)C(C)(C)C,C=CC.C[C](C)C,new_mr_40,[CH2]C(C)C(C)(C)C>>C=CC.C[C](C)C,False,,,21.9706574999951,21.975
CCCC[C](C)C,C=C(C)C.[CH2]CC,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,28.326604999999034,28.4458
CC[C](C)C(C)CC,CCC=C(C)CC.[CH3],new_mr_60,C[C](C)C(C)C>>CC=C(C)C.[CH3],False,,,31.80985750001497,28.8267
CC[CH]C(C)C(C)C,CC=CC(C)C(C)C.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,43.05026499999272,39.503
[CH2]CCC(CC)CC,C=C.[CH2]C(CC)CC,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,29.38331500000629,25.9484
[CH2]C(C)(C)CCCC,C=C(C)C.[CH2]CCC,new_mr_42,[CH2]C(C)(C)CC>>C=C(C)C.[CH2]C,False,,,27.55415249998748,26.4052
CC[C](CC)CC,C=C(CC)CC.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,28.67863250000198,30.2166
C[CH]C(C)CC,CC=CC.[CH2]C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,28.08439000000419,29.1794
[CH2]CCCCC,C=C.[CH2]CCC,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,27.913710000007086,25.9484
[CH2]CC(C)(C)CC,C=C.CC[C](C)C,new_mr_36,[CH2]CC(C)(C)C>>C=C.C[C](C)C,False,,,22.686007500008145,22.8002
C[CH]CC(CC)CC,C=CCC(CC)CC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,41.379860000001116,42.0394
C[CH]CCC(C)(C)C,C=CC.[CH2]C(C)(C)C,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,31.549444999994734,28.5519
C[CH]C(C)C(C)CC,CC=CC.C[CH]CC,new_mr_51,C[CH]C(C)C(C)C>>CC=CC.C[CH]C,False,,,23.925320000018075,26.0827
CCC[CH]C(C)C,CCC=CC(C)C.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,40.57163999997286,39.503
[CH2]CCCCC(C)C,C=C.[CH2]CCC(C)C,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,28.610862499994738,25.9484
[CH2]C(C)(C)CC,C=C(C)C.[CH2]C,new_mr_42,[CH2]C(C)(C)CC>>C=C(C)C.[CH2]C,False,,,25.86366749999307,26.4052
[CH2]C(C)C(C)(C)C,C=CC(C)(C)C.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,31.97991000001366,30.002
[CH2]CC(C)(C)C,C=CC(C)(C)C.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,40.950649999996855,40.4424
C[C](C(C)C)C(C)C,C=C(C(C)C)C(C)C.[H],new_mr_30,C[C](C)C>>C=C(C)C.[H],False,,,40.701532500001605,40.608
[CH2]C(C)(CC)CCC,C=C(CC)CCC.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,30.920062499978656,30.1589
CCCCC[C](C)C,C=C(C)CCCCC.[H],new_mr_30,C[C](C)C>>C=C(C)C.[H],False,,,41.002105000027456,40.608
C[CH]C(CC)C(C)C,CC=CCC.C[CH]C,new_mr_51,C[CH]C(C)C(C)C>>CC=CC.C[CH]C,False,,,23.588352500012775,26.0827
CCC(C)[C](C)C,CCC=C(C)C.[CH3],new_mr_60,C[C](C)C(C)C>>CC=C(C)C.[CH3],False,,,29.567172500005796,28.8267
[CH2]C(C)C(C)C,C=CC(C)C.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,31.994342499995057,30.002
CC[CH]C(C)(C)CC,CCC=C(C)CC.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,31.790404999992745,29.7912
C[C](C)CCC(C)C,C=C(C)C.[CH2]C(C)C,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,28.884452499981705,28.4458
C[CH]C(C)CC(C)C,CC=CC.[CH2]C(C)C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,28.24001000000365,29.1794
C[CH]CCC,CC=CCC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.586307500014925,39.503
CCC[C](CC)CC,C=C(CC)CC.[CH2]C,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,26.37758999999747,28.4458
CC[CH]C(C)CC,CC=CCC.[CH2]C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,27.837154999986353,29.1794
CC[CH]CCCC,CC=CCCCC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.082424999967344,39.503
CCC[CH]C(C)CC,C=CC(C)CC.[CH2]C,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,31.20683000000369,28.5519
CCC[CH]C(C)CC,CCCC=C(C)CC.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,42.308559999974875,38.8943
CC[CH]C(CC)CC,CCC=CCC.[CH2]C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,29.215772500001265,29.1794
[CH2]C(C)C(CC)CC,C=C(C)C(CC)CC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,40.5797975000236,38.2919
CC(C)[CH]CC(C)C,CC(C)=CCC(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,39.655490000003084,38.8943
C[CH]CC(C)(C)CC,C=CC.CC[C](C)C,new_mr_48,C[CH]CC(C)(C)C>>C=CC.C[C](C)C,False,,,24.942497499982466,22.9289
C[CH]CC,C=CC.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,31.50991250000537,30.5367
CC[C](C)C(C)(C)C,C=C(C)C(C)(C)C.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,28.68177000002973,30.2166
CC[CH]CC(C)CC,CCC=CC(C)CC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,37.55085500000206,39.503
[CH2]C(C)(C)CC(C)C,C=C(C)CC(C)C.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,30.434377500027807,30.1589
[CH2]C(C)CCCCC,C=C(C)CCCCC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,38.63266500001728,38.2919
CCC[C](C)CC,C=C(C)CC.[CH2]C,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,28.209890000008357,28.4458
[CH2]CCC,C=CCC.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,40.6444300000031,40.4424
[CH2]C(CC)CCC,C=C(CC)CCC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,39.55006999998389,38.2919
CCC[CH]CCC,C=CCCC.[CH2]C,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,31.161022499976667,28.5519
[CH2]C(CC)C(C)(C)C,C=CC(C)(C)C.[CH2]C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,29.7773850000101,27.861
CC[CH]C(C)(C)C,CC=CC(C)(C)C.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,39.652352499975336,39.503
CC[CH]C(C)CCC,CCC=CCCC.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,29.302995000030734,30.3007
[CH2]C(C)CC(C)(C)C,C=CCC(C)(C)C.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,28.86939249998406,30.002
CC[C](CC)C(C)C,C=C(CC)C(C)C.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,30.008932499996206,30.2166
[CH2]C(C)CCC(C)C,C=CCCC(C)C.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,29.74663750001639,30.002
[CH2]C(C)C(C)CC,C=CC(C)CC.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,31.059994999982052,30.002
[CH2]CCCC(C)CC,C=CCCC(C)CC.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,36.9101775000145,40.4424
CCCC[CH]C(C)C,C=CC(C)C.[CH2]CC,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,29.80373999997923,28.5519
C[C](C)C(C)C(C)C,CC(C)=CC(C)C.[CH3],new_mr_60,C[C](C)C(C)C>>CC=C(C)C.[CH3],False,,,32.692749999997375,28.8267
[CH2]CC,C=C.[CH3],new_mr_33,[CH2]CC>>C=C.[CH3],False,,,28.630942499997545,31.3725
[CH2]CCCC(C)(C)C,C=CCCC(C)(C)C.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,38.09615249998075,40.4424
C[CH]C,C=CC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,42.04375499999248,42.0394
[CH2]C(C)CCCC,C=CCCCC.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,29.779894999968093,30.002
CC[C](C)CC(C)C,C=C(C)CC.C[CH]C,new_mr_58,C[C](C)CC(C)C>>C=C(C)C.C[CH]C,False,,,25.699889999996373,25.4439
[CH2]CCCC(C)C,C=CCCC(C)C.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,40.3909200000011,40.4424
[CH2]C(CC)C(C)C,C=C(CC)C(C)C.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,38.809619999998546,38.2919
[CH2]C(C)(CC)CC,C=C(CC)CC.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,30.985322499992236,30.1589
[CH2]CCC(C)C,C=C.[CH2]C(C)C,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,29.946182499994123,25.9484
CCC[CH]CC(C)C,C=CCCC.C[CH]C,new_mr_47,C[CH]CC(C)C>>C=CC.C[CH]C,False,,,27.28244499999576,26.8012
CC(C)[CH]C(C)C,CC(C)=CC(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,37.016852499994854,38.8943
C[CH]C(C)C(C)C,CC=CC.C[CH]C,new_mr_51,C[CH]C(C)C(C)C>>CC=CC.C[CH]C,False,,,24.64820000001211,26.0827
C[CH]CCCC,CC=CCCC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.41374500000474,39.503
C[CH]CC(C)C(C)C,C=CCC(C)C(C)C.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,42.424647500002806,42.0394
CCC(C)[CH]C(C)C,CC=CC(C)C.[CH2]C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,28.049250000021573,29.1794
CC[CH]CCC,C=CCC.[CH2]C,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,30.426847499993315,28.5519
C[CH]CC(C)C,C=CC.C[CH]C,new_mr_47,C[CH]CC(C)C>>C=CC.C[CH]C,False,,,26.716439999998016,26.8012
CC[C](C)C(C)C,CCC(C)=C(C)C.[H],new_mr_32,C[C](C)C(C)C>>CC(C)=C(C)C.[H],False,,,37.626782500024376,38.9652
[CH2]C(C)(C)C(C)(C)C,C=C(C)C(C)(C)C.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,30.350292499990417,30.1589
CCC[CH]C(C)C,CCCC=C(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,38.616349999987136,38.8943
CC[CH]CC(C)C,CCC=CC(C)C.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.61642750001022,39.503
[CH2]CCCCCC,C=CCCCCC.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,44.89511500000759,40.4424
CC[C](C)C(C)CC,C=C(C)C(C)CC.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,30.110587499989236,30.2166
CC[C](C)C(C)C,C=C(C)C(C)C.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,28.734480000003657,30.2166
CC[CH]C(C)C(C)C,CC=CCC.C[CH]C,new_mr_51,C[CH]C(C)C(C)C>>CC=CC.C[CH]C,False,,,27.003207499987383,26.0827
CC[CH]CCC(C)C,C=CCCC(C)C.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,31.508657499990704,30.5367
C[CH]C(C)(C)C(C)C,CC=C(C)C(C)C.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,29.85582250002608,29.7912
C[CH]C(C)(C)CC,CC=C(C)CC.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,31.268325000026778,29.7912
C[CH]CCCC(C)C,CC=CCCC(C)C.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,40.35327000002482,39.503
C[CH]C(C)CCC,CC=CCCC.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,30.545444999997073,30.3007
C[CH]C(C)C(C)(C)C,CC=CC.C[C](C)C,new_mr_52,C[CH]C(C)C(C)(C)C>>CC=CC.C[C](C)C,False,,,23.97865749999042,23.9749
CC(C)[CH]C(C)(C)C,CC(C)=CC(C)C.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,29.683887499996473,29.7912
[CH2]C(C)CC,C=CC.[CH2]C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,27.876687500011386,27.861
[CH2]C(C)C(C)(C)CC,C=C(C)C(C)(C)CC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,39.41390250000666,38.2919
C[CH]CCCCCC,CC=CCCCCC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,37.34691749998191,39.503
CCC[CH]C(C)CC,CCC=CCCC.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,36.71941749999675,30.3007
[CH2]CC(C)CCC,C=CC(C)CCC.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,37.19129750001812,40.4424
[CH2]CC(C)C(C)(C)C,C=CC(C)C(C)(C)C.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,42.51688999998393,40.4424
CC[CH]C(C)C,CCC=C(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,39.19302250001145,38.8943
C[C](C)CC(C)(C)C,C=C(C)C.C[C](C)C,new_mr_59,C[C](C)CC(C)(C)C>>C=C(C)C.C[C](C)C,False,,,22.338372499994108,22.3315
CCCCC[C](C)C,C=C(C)C.[CH2]CCC,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,28.71942000000601,28.4458
