Distance_angs,F2_charge-2_spin1_aim2nse,HH_charge0_spin1_aim2nse,Br2_charge0_spin1_aim2nse,Cl2_charge0_spin1_aim2nse,FH_charge0_spin1_aim2nse,Br2_charge-2_spin1_aim2nse,I2_charge0_spin1_aim2nse,ClH_charge0_spin1_aim2nse,BrH_charge0_spin1_aim2nse,I2_charge-2_spin1_aim2nse,F2_charge0_spin1_aim2nse,HI_charge0_spin1_aim2nse,Cl2_charge-2_spin1_aim2nse
0.5,-5432.5302891603,-27.7177269282,-140086.340703927,-25039.5203137919,-2727.9474510145,-140095.3221373339,-16202.6971855089,-12533.2089329201,-70055.7777447953,-16209.0452140894,-5428.5016536433,-8113.311695529,-25049.5472531515
0.6,-5427.1671147732,-31.268690438,-140086.1092222035,-25038.5113507956,-2730.6556677547,-140091.9079009154,-16202.472005751,-12532.9519195711,-70055.5626278787,-16204.0089637858,-5431.7631283393,-8113.7966897069,-25045.6831997402
0.7,-5420.9929085626,-31.7888913895,-140085.3922895193,-25038.2118809484,-2732.3915871952,-140086.8763469116,-16200.2144352708,-12531.5821431791,-70054.1773267784,-16199.2659351872,-5431.5363708734,-8113.4387423993,-25041.7153226293
0.8,-5418.0228298014,-31.7621421688,-140084.7069945745,-25038.5994200259,-2734.2817567699,-140085.0422183217,-16198.8444873987,-12530.2614965827,-70053.4919713215,-16196.0850352389,-5427.148737628,-8112.2293530599,-25041.6942359238
0.9,-5418.6048723533,-31.4681264404,-140088.9587654844,-25039.2186832726,-2734.8334083255,-140084.7048566751,-16197.3662949018,-12535.2751869048,-70056.1086722282,-16195.2613989928,-5426.0965305492,-8112.6500351336,-25036.923697707
1.0,-5418.3069137878,-31.0391145907,-140091.6695368215,-25045.7723627575,-2734.683251108,-140079.9619478546,-16202.838803912,-12538.8863681482,-70058.7669566491,-16196.3234128662,-5427.5009582918,-8112.1215735641,-25032.9736406717
1.1,-5419.2385461908,-30.4846517676,-140086.8158773528,-25039.2385255172,-2734.194701299,-140076.5976886882,-16205.6546711959,-12540.1088849234,-70060.67908842,-16197.149633894,-5429.9622225836,-8113.355370596,-25028.2995033604
1.2,-5419.5332503018,-29.9964382406,-140079.5428724407,-25036.2883323803,-2733.5682345094,-140073.7582786418,-16196.5395266371,-12540.7285047279,-70061.9136060171,-16189.8323418682,-5431.2428507907,-8116.1070050417,-25025.5110969274
1.3,-5420.1953507057,-29.4635913931,-140076.4147167753,-25036.5008472651,-2732.8930405242,-140073.1709210566,-16190.8717930576,-12540.8331798331,-70062.6151014355,-16186.7993545882,-5431.9455985092,-8117.9306958833,-25028.1834136783
1.4,-5420.9339476243,-28.7363499785,-140076.9984396286,-25039.4799565785,-2732.2061547827,-140073.705813736,-16188.2595430277,-12540.6479200822,-70062.8405709517,-16184.7134296435,-5432.1277074357,-8118.9066652579,-25031.7296930897
1.5,-5422.6779861092,-28.0411297921,-140079.6062931791,-25042.4696745202,-2731.5669110412,-140073.9423585864,-16187.6689644642,-12540.2919942167,-70062.7790953361,-16184.7360534691,-5431.8875585003,-8119.3493749807,-25034.5055792334
1.6,-5424.6714601501,-27.7968220999,-140082.3371921889,-25044.7486494221,-2730.9377761845,-140075.9977382908,-16186.759459015,-12539.8553526406,-70062.5024188867,-16183.6139325001,-5431.3785008518,-8119.4855971275,-25036.0114673669
1.7,-5425.9521797215,-27.781932815,-140085.6942767389,-25046.2994741909,-2730.3649801442,-140078.3395612705,-16188.5187075324,-12539.4027052048,-70062.1267946714,-16186.2731672215,-5430.6438304717,-8119.39480678,-25037.1149651741
1.8,-5426.770153099,-27.5345383221,-140088.4153202325,-25047.2369689718,-2729.8630251917,-140080.5038471266,-16191.7575888559,-12538.9419890744,-70061.7259931897,-16188.2326319394,-5429.7875444693,-8119.1877627864,-25038.2004758864
1.9,-5427.4735558675,-27.1322264848,-140090.3464686088,-25047.7199690901,-2729.379090161,-140082.3747088166,-16195.7836626954,-12538.4332597196,-70061.2946691062,-16190.2511528953,-5429.0596243031,-8118.8867093475,-25039.7827885272
2.0,-5428.0960605803,-26.7777247261,-140091.5600838624,-25047.8431846611,-2728.9246471549,-140084.4900972426,-16199.7506258301,-12537.9379975264,-70060.8579204932,-16193.4296444801,-5428.3495874014,-8118.5232966279,-25041.6140690415
2.1,-5428.7660872112,-26.3117619865,-140092.2103191093,-25047.7382654697,-2728.586509526,-140086.3000917137,-16202.4846618772,-12537.5429728964,-70060.514152085,-16195.9114012345,-5428.063982835,-8118.1870776471,-25042.9215912357
2.2,-5429.4638099376,-25.9517711243,-140092.5351069793,-25047.4852824397,-2728.3397390157,-140087.744080313,-16204.2699860409,-12537.2118265226,-70060.1204856208,-16197.6494720985,-5428.2001223536,-8117.7785518936,-25043.8325667779
2.3,-5429.8718602451,-25.8830221798,-140092.6098307557,-25047.120714698,-2728.0603654612,-140088.8124082358,-16205.462272808,-12536.8808160057,-70059.6455129528,-16199.3025133668,-5428.2985210847,-8117.2527407486,-25044.5074283779
2.4,-5430.1305859473,-25.8650106341,-140092.51552587,-25046.6981484406,-2727.8158048257,-140089.6458053478,-16206.220647607,-12536.5337292387,-70059.2230038083,-16201.1695790479,-5428.308374173,-8116.798922057,-25045.0971126867
2.5,-5430.4000328409,-25.7181402529,-140092.3053268082,-25046.2452782188,-2727.5369244741,-140090.5038424338,-16206.6600308567,-12536.2160426172,-70058.9566492912,-16202.7070111868,-5428.2672531754,-8116.4763640423,-25045.6785228719
2.6,-5430.6479230211,-25.4672087883,-140092.017570015,-25045.7444484495,-2727.2548038585,-140091.3478155006,-16206.8144779503,-12535.8136485092,-70058.676386038,-16203.9607933971,-5428.1773729939,-8116.1968426968,-25046.3490729978
2.7,-5430.8306621523,-25.317722416,-140091.7594459653,-25045.277424695,-2727.0876849164,-140091.8967484205,-16206.817974519,-12535.4684354429,-70058.3668866808,-16204.9536475503,-5428.1917496803,-8115.8741775441,-25046.8940473906
2.8,-5430.9881944499,-25.2693781508,-140091.4758957028,-25044.962041568,-2727.0360725293,-140092.2641440158,-16206.7524166889,-12535.2978140805,-70058.1641431415,-16205.5284032772,-5428.356711789,-8115.6169129428,-25047.2800228479
2.9,-5431.1606474058,-25.1718582381,-140091.0575744417,-25044.6843837891,-2726.9847052705,-140092.4717205346,-16206.5971026495,-12535.1613128208,-70057.994891946,-16205.9191783292,-5428.4775123945,-8115.4896007177,-25047.5078675459
3.0,-5431.3433063193,-24.9963907702,-140090.653040085,-25044.3640830554,-2726.8562247856,-140092.6925342738,-16206.37152455,-12534.9529413859,-70057.7655751833,-16206.2644059984,-5428.412434659,-8115.3535446423,-25047.7196625115
3.1,-5431.4973203202,-24.8272544374,-140090.3469657823,-25044.1245803703,-2726.7047570628,-140092.8959166481,-16206.1633095741,-12534.7304739867,-70057.5106015527,-16206.6385122675,-5428.2104218136,-8115.1027826622,-25047.8778135913
3.2,-5431.611575274,-24.6921760412,-140090.1197223179,-25043.9145322665,-2726.568443223,-140093.0648640648,-16205.9747597538,-12534.5530786478,-70057.3103133388,-16206.9341295457,-5428.0381804868,-8114.873388567,-25048.0133946306
3.3,-5431.7164709335,-24.5851035458,-140089.8988642637,-25043.6734666321,-2726.4458353601,-140093.2159562177,-16205.7743836455,-12534.4090890913,-70057.1592020404,-16207.1719116915,-5427.9545899956,-8114.7087848862,-25048.1444126045
3.4,-5431.8283071487,-24.5211722923,-140089.6416132674,-25043.4489521217,-2726.3218225947,-140093.3540715488,-16205.5301511735,-12534.26592993,-70057.0153891598,-16207.3642302229,-5427.8729030318,-8114.5710893908,-25048.261198747
3.5,-5431.9466888847,-24.4774494811,-140089.3321371656,-25043.2555666901,-2726.1835682404,-140093.472132313,-16205.186816642,-12534.0818805117,-70056.8328924874,-16207.5042774042,-5427.7436220776,-8114.3978174504,-25048.3554817908
3.6,-5432.0582485601,-24.4185735001,-140089.0505456365,-25043.0973768979,-2726.0514426667,-140093.5784452065,-16204.7978928405,-12533.8943876294,-70056.6516913617,-16207.61992065,-5427.6138569,-8114.2054852571,-25048.4376027233
3.7,-5432.1337415991,-24.3462720919,-140088.8569912761,-25042.9887575526,-2725.9372482092,-140093.6835439914,-16204.4840444177,-12533.7709984382,-70056.5454401651,-16207.7441959678,-5427.5193168863,-8114.0841723323,-25048.5149063808
3.8,-5432.1788012287,-24.2565732092,-140088.7220447026,-25042.9107756996,-2725.8244769106,-140093.8012785998,-16204.2475455422,-12533.6852154987,-70056.4954307737,-16207.8848202934,-5427.4414944994,-8114.0211708858,-25048.5998206919
3.9,-5432.2289529354,-24.1128400462,-140088.587864358,-25042.8073998643,-2725.6668414271,-140093.9248839938,-16204.0559467207,-12533.55764561,-70056.4025046679,-16208.0222436676,-5427.3433512124,-8113.9211910002,-25048.6969573212
4.0,-5432.2873838446,-23.9164727146,-140088.4182314724,-25042.6513091195,-2725.4671999975,-140094.009145242,-16203.8618559576,-12533.3603578856,-70056.2044299381,-16208.1198798855,-5427.2209754621,-8113.7277435954,-25048.7775812227
4.1,-5432.3204071066,-23.7757349247,-140088.2543935115,-25042.5018272512,-2725.3471726803,-140094.0349257881,-16203.6782209035,-12533.1995740868,-70056.0285209592,-16208.1621258974,-5427.1796640804,-8113.5559403835,-25048.8202577821
4.2,-5432.3114451499,-23.7808302533,-140088.1569914427,-25042.4620425273,-2725.3756874675,-140094.0352861216,-16203.574302623,-12533.1513425445,-70055.9866361662,-16208.1760822,-5427.2970415027,-8113.5247949163,-25048.8417035115
4.3,-5432.283221684,-23.856423991,-140088.1500177979,-25042.546569257,-2725.4969018394,-140094.0414110651,-16203.5561510678,-12533.1772471383,-70056.0290430472,-16208.1909277192,-5427.4892983923,-8113.59421784,-25048.8658525864
4.4,-5432.2678764599,-23.8405624994,-140088.1362320986,-25042.6176544977,-2725.5458247536,-140094.0766693636,-16203.4831341114,-12533.1976062988,-70056.0760273612,-16208.2285558034,-5427.5847962217,-8113.6641837859,-25048.9159357339
4.5,-5432.252768164,-23.6111499159,-140087.9222085746,-25042.4732964574,-2725.3725144359,-140094.1286253649,-16203.1547459792,-12533.0549655568,-70055.9996493264,-16208.2828459147,-5427.5235043903,-8113.5899573433,-25048.9770419104
4.6,-5432.1998108408,-23.244648091,-140087.4652007846,-25042.0247907708,-2725.0088081363,-140094.1407740102,-16202.6073111091,-12532.7121388681,-70055.7146139995,-16208.3039783715,-5427.3760670022,-8113.2764667301,-25048.9950066355
4.7,-5432.107168264,-22.8816685413,-140087.020675445,-25041.5749512124,-2724.6703341263,-140094.0906522996,-16202.1559631862,-12532.3959772554,-70055.3653131465,-16208.2748993685,-5427.2082952456,-8112.8823930094,-25048.9480107475
4.8,-5432.0279145406,-22.6393421343,-140086.7272414714,-25041.3059593304,-2724.4784967136,-140094.0398352193,-16201.8731960542,-12532.210475603,-70055.1461273064,-16208.2598236121,-5427.1008359353,-8112.6365976043,-25048.8922802566
4.9,-5432.0124352469,-22.5374412396,-140086.6017982108,-25041.2002774766,-2724.4033815516,-140094.0417919695,-16201.7416354613,-12532.1345658337,-70055.0577751319,-16208.2859315563,-5427.0621029205,-8112.5386799216,-25048.8885752206
5.0,-5432.0550312639,-22.5188264728,-140086.5794872344,-25041.1817899027,-2724.3868982347,-140094.08779045,-16201.7158708768,-12532.1171522779,-70055.0398696766,-16208.3368562457,-5427.0559717521,-8112.5199797991,-25048.9333789886
5.1,-5432.1114590629,-22.5187940507,-140086.5788468523,-25041.1813965938,-2724.3828316008,-140094.1436211932,-16201.7148220222,-12532.1126066362,-70055.0370535599,-16208.3922795892,-5427.0559292842,-8112.5187708411,-25048.9894565904
5.2,-5432.1657200675,-22.5187657232,-140086.5782694523,-25041.1810482622,-2724.3789243067,-140094.1973430264,-16201.7138449457,-12532.1082454504,-70055.0343584623,-16208.4456028186,-5427.0558921285,-8112.5176261835,-25049.0434070627
5.3,-5432.2179371428,-22.5187409193,-140086.577749914,-25041.1807396996,-2724.3751669713,-140094.2490737786,-16201.7129397197,-12532.1040571687,-70055.0317761502,-16208.496948956,-5427.055859557,-8112.5165403954,-25049.0953485761
5.4,-5432.2682227466,-22.5187191539,-140086.5772831556,-25041.1804662442,-2724.3715509975,-140094.2989218764,-16201.7121050004,-12532.1000313062,-70055.0292992061,-16208.5464301658,-5427.0558309484,-8112.5155086038,-25049.1453897623
5.5,-5432.3166821313,-22.5187000141,-140086.5768642633,-25041.1802237385,-2724.3680684111,-140094.3469884041,-16201.7113383431,-12532.0961581786,-70055.0269208004,-16208.5941497868,-5427.0558057713,-8112.5145264436,-25049.1936324621
5.6,-5432.3634129014,-22.518683148,-140086.5764885852,-25041.180008502,-2724.3647118498,-140094.39336634,-16201.7106365091,-12532.0924288854,-70055.0246347499,-16208.6402026397,-5427.0557835711,-8112.5135899988,-25049.240170625
5.7,-5432.40850586,-22.5186682551,-140086.5761517859,-25041.1798172841,-2724.3614744864,-140094.4381427561,-16201.7099957592,-12532.0888352677,-70055.0224354042,-16208.6846759635,-5427.0557639581,-8112.5126957559,-25049.285092408
5.8,-5432.4520456431,-22.5186550782,-140086.5758498693,-25041.1796472238,-2724.3583499806,-140094.4813986265,-16201.70941205,-12532.0853697516,-70055.0203175645,-16208.7276508996,-5427.0557465978,-8112.5118405611,-25049.3284799201
5.9,-5432.4941104964,-22.5186433967,-140086.5755791857,-25041.1794958067,-2724.3553324858,-140094.5232088348,-16201.7088812198,-12532.0820254076,-70055.0182765115,-16208.7692020342,-5427.055731203,-8112.5110215874,-25049.3704093949
6.0,-5432.5347746286,-22.5186330212,-140086.5753364253,-25041.1793608263,-2724.3524165357,-140094.5636445273,-16201.7083991184,-12532.0787957716,-70055.0163078757,-16208.8093990294,-5427.0557175259,-8112.5102362722,-25049.4109524382
6.1,-5432.5741064889,-22.5186237884,-140086.5751185992,-25041.1792403453,-2724.349597013,-140094.6027711636,-16201.7079616962,-12532.0756748438,-70055.0144076328,-16208.8483069278,-5427.0557053531,-8112.5094823072,-25049.4501764195
