file,fairchem-omol,aimnet2,orb-omol,mace-omol,aim2nse,polar
frame_0001.xyz,-15655.5570115548000,-15663.1805518999000,-15651.0472684301000,-15672.8555457179000,-15679.1973135817000,-15672.8498008062000
frame_0002.xyz,-15665.5451230507000,-15669.3439542784000,-15650.9053400008000,-15665.7050517184000,-15682.0518158499000,-15666.5467181228000
frame_0003.xyz,-15674.6119126778000,-15678.2096239015000,-15650.5647882528000,-15674.2743190380000,-15681.5563629149000,-15674.1314029041000
frame_0004.xyz,-15680.8718747597000,-15684.8909080609000,-15650.5239183581000,-15680.7696804144000,-15685.8095457108000,-15680.8075612644000
frame_0005.xyz,-15684.5009932023000,-15688.6429796203000,-15650.4798539473000,-15684.4529079612000,-15688.8824348638000,-15684.4756026618000
frame_0006.xyz,-15686.4957929950000,-15690.6651271268000,-15650.5271249159000,-15686.4874110586000,-15690.7204080908000,-15686.4889681633000
frame_0007.xyz,-15687.5231061380000,-15691.6880853458000,-15650.5705132841000,-15687.5233003915000,-15691.7107902964000,-15687.5242364997000
frame_0008.xyz,-15687.9622977477000,-15692.1453597232000,-15650.6042399435000,-15687.9623626122000,-15692.1377532099000,-15687.9655573984000
frame_0009.xyz,-15688.0483195882000,-15692.2454775407000,-15650.6424099473000,-15688.0485103198000,-15692.2294885456000,-15688.0512838132000
frame_0010.xyz,-15687.9460166197000,-15692.1572951063000,-15650.7018918161000,-15687.9467029978000,-15692.1226770149000,-15687.9499150523000
frame_0011.xyz,-15687.7326469522000,-15691.9450246229000,-15650.7524516121000,-15687.7346176904000,-15691.8974247935000,-15687.7388218114000
frame_0012.xyz,-15687.4588419896000,-15691.6605115666000,-15650.8348379416000,-15687.4593951179000,-15691.6034628985000,-15687.4660327614000
frame_0013.xyz,-15687.1538940583000,-15691.3473470493000,-15650.8945933134000,-15687.1541287384000,-15691.3089889482000,-15687.1606944175000
frame_0014.xyz,-15686.8396207493000,-15691.0339163526000,-15650.9684700846000,-15686.8391596617000,-15691.0075126727000,-15686.8553883624000
frame_0015.xyz,-15686.5285619598000,-15690.7188442781000,-15651.0231962138000,-15686.5247581684000,-15690.6743382408000,-15686.5447686286000
frame_0016.xyz,-15686.2277513843000,-15690.3880499735000,-15651.0806118953000,-15686.2177253864000,-15690.2961334705000,-15686.2448904763000
frame_0017.xyz,-15685.9414736729000,-15690.0703907891000,-15651.1343737457000,-15685.9234005530000,-15689.8761174074000,-15685.9588328650000
frame_0018.xyz,-15685.6707900267000,-15689.7872287317000,-15651.1819332860000,-15685.6481918377000,-15689.4599906100000,-15685.6854704672000
frame_0019.xyz,-15685.4187182885000,-15689.5220928623000,-15651.5651034893000,-15685.3965144376000,-15689.1003778131000,-15685.4276025328000
frame_0020.xyz,-15685.1882756453000,-15689.2548894717000,-15651.5178006524000,-15685.1698494552000,-15688.8171361930000,-15685.1908712761000
frame_0021.xyz,-15684.9773308735000,-15688.9568586036000,-15651.4924562405000,-15684.9658629251000,-15688.5841354504000,-15684.9828746691000
frame_0022.xyz,-15684.7837650281000,-15688.6822651013000,-15651.4732369910000,-15684.7848718332000,-15688.3733746644000,-15684.8080955807000
frame_0023.xyz,-15684.5942928296000,-15688.4391086980000,-15651.2435912165000,-15684.6238281341000,-15688.1717846453000,-15684.6723572610000
frame_0024.xyz,-15684.4253577691000,-15688.2506628617000,-15651.1822808856000,-15684.5043775528000,-15687.9985227748000,-15684.5617668761000
frame_0025.xyz,-15684.2807301980000,-15688.0565583094000,-15651.1165121501000,-15684.4101516521000,-15687.8447281618000,-15684.4682180090000
frame_0026.xyz,-15684.1500746708000,-15687.8399907484000,-15651.0190344492000,-15684.3270978418000,-15687.6799202129000,-15684.3839489247000
frame_0027.xyz,-15684.0424830418000,-15687.6171594842000,-15650.9071716941000,-15684.2519911952000,-15687.5004571447000,-15684.3103444497000
frame_0028.xyz,-15683.9641243916000,-15687.4279737978000,-15650.7985550285000,-15684.1863557926000,-15687.3457301886000,-15684.2486791607000
frame_0029.xyz,-15683.9320752125000,-15687.2935413926000,-15650.5880735929000,-15684.1345948206000,-15687.2316221176000,-15684.2004265144000
frame_0030.xyz,-15683.9108068448000,-15687.1813000574000,-15650.4684673449000,-15684.0921770217000,-15687.1465866756000,-15684.1612478643000
frame_0031.xyz,-15683.9128381711000,-15687.0750886857000,-15650.3649272250000,-15684.0613611644000,-15687.0532437687000,-15684.1317577437000
frame_0032.xyz,-15683.9479116898000,-15686.9867224305000,-15650.3140542991000,-15684.0432276959000,-15686.9394458449000,-15684.1103546529000
frame_0033.xyz,-15683.9598977070000,-15686.9090637772000,-15650.2478249018000,-15684.0289779059000,-15686.8517482062000,-15684.0927511676000
frame_0034.xyz,-15683.9683267575000,-15686.8364070415000,-15650.7724650730000,-15684.0198446099000,-15686.7883758807000,-15684.0780232981000
frame_0035.xyz,-15683.9716784459000,-15686.7294050514000,-15650.6909331724000,-15684.0138867787000,-15686.7359761068000,-15684.0648839911000
frame_0036.xyz,-15683.9696354371000,-15686.5781777187000,-15650.6130741805000,-15684.0093949068000,-15686.6637081065000,-15684.0526858348000
frame_0037.xyz,-15683.9592694741000,-15686.3865424900000,-15650.4833075946000,-15684.0047686506000,-15686.5441772565000,-15684.0407346298000
frame_0038.xyz,-15683.9382607442000,-15686.1943395867000,-15650.4674017411000,-15683.9999543867000,-15686.3991149132000,-15684.0291300655000
frame_0039.xyz,-15683.9008848172000,-15686.0680332093000,-15650.5195498799000,-15683.9935004681000,-15686.2900575271000,-15684.0165759444000
frame_0040.xyz,-15683.8369082909000,-15686.0096569567000,-15650.6052362101000,-15683.9854497023000,-15686.2348696315000,-15684.0039684240000
frame_0041.xyz,-15683.7259315949000,-15685.9761543482000,-15650.6901871608000,-15683.9774137692000,-15686.2209385772000,-15683.9910884885000
frame_0042.xyz,-15683.5750336152000,-15685.9537388368000,-15650.6864128105000,-15683.9607933928000,-15686.1914196193000,-15683.9762205740000
frame_0043.xyz,-15683.3844954472000,-15685.9346031978000,-15650.6407916516000,-15683.9360432355000,-15686.1688158710000,-15683.9617921858000
frame_0044.xyz,-15683.1858865719000,-15685.9228429704000,-15650.5657633285000,-15683.8920660794000,-15686.1583932604000,-15683.9466035115000
frame_0045.xyz,-15683.0543522339000,-15685.9083966895000,-15650.4884825775000,-15683.8432302661000,-15686.1519131852000,-15683.9346298449000
frame_0046.xyz,-15682.9855470162000,-15685.8966408803000,-15650.1837165239000,-15683.8134582254000,-15686.1465989007000,-15683.9238081781000
frame_0047.xyz,-15682.9432668191000,-15685.8857089861000,-15650.1600906972000,-15683.7914009085000,-15686.1400893090000,-15683.9155366397000
frame_0048.xyz,-15682.8800630074000,-15685.8719357683000,-15650.1112888151000,-15683.7698732159000,-15686.1340607075000,-15683.9106177618000
frame_0049.xyz,-15682.8790144425000,-15685.8613669335000,-15650.0670314911000,-15683.7251082863000,-15686.1306993157000,-15683.9065123047000
frame_0050.xyz,-15682.8712868195000,-15685.8414691596000,-15650.0218195889000,-15683.6842281619000,-15686.1213647021000,-15683.9044256620000
frame_0051.xyz,-15682.8527492982000,-15685.8164155691000,-15650.0239966924000,-15683.6561843364000,-15686.1074105361000,-15683.9032070187000
frame_0052.xyz,-15682.8313664895000,-15685.7934144347000,-15650.0343342728000,-15683.6239198446000,-15686.0944419370000,-15683.9020589126000
frame_0053.xyz,-15682.8072089654000,-15685.7704071089000,-15650.0666524986000,-15683.5868177476000,-15686.0817351631000,-15683.9010411598000
frame_0054.xyz,-15682.7931947213000,-15685.7884035691000,-15650.1945823625000,-15683.5559931810000,-15686.0903553713000,-15683.8954641800000
frame_0055.xyz,-15682.7586011391000,-15685.7527935340000,-15650.2409247957000,-15683.5026494406000,-15686.0712120832000,-15683.8959573675000
frame_0056.xyz,-15682.7214908105000,-15685.7184144988000,-15650.2552826904000,-15683.4394098867000,-15686.0550721947000,-15683.8962813421000
frame_0057.xyz,-15682.6769232255000,-15685.6845314859000,-15650.2425827602000,-15683.3615651125000,-15686.0412233849000,-15683.8963897663000
frame_0058.xyz,-15682.6582569581000,-15685.7119460761000,-15650.3310849540000,-15683.3157021521000,-15686.0508073944000,-15683.8891001138000
frame_0059.xyz,-15682.6199321251000,-15685.6643247365000,-15650.2814434378000,-15683.2768798432000,-15686.0355268246000,-15683.8907617856000
frame_0060.xyz,-15682.5884828072000,-15685.6161947384000,-15650.4239584192000,-15683.2542772278000,-15686.0221129217000,-15683.8917462198000